Genus Name,Species Name,Synonyms,Family,Order,Class,Common Name,Species Code,Growth Form,Percent Leaf Type,Leaf Type,Growth Rate,Longevity,Height at Maturity (feet)
Abarema,cochliocarpos,,Fabaceae,Fabales,Magnoliopsida,Abarema cochliocarpos,ABCO1,Shrub or small tree,Hardwood,Evergreen,,,30
Abarema,glauca,,Fabaceae,Fabales,Magnoliopsida,Glaucous abarema,ABGL,Tree,Hardwood,Evergreen,,,10
Abarema,jupunba,,Fabaceae,Fabales,Magnoliopsida,Frijolillo,ABJU,Tree,Hardwood,Evergreen,Moderate,Moderate (35 - 55yrs),65
Abarema,langsdorfii,,Fabaceae,Fabales,Magnoliopsida,pau gamba,ABLA1,Tree,Hardwood,Evergreen,,,5
Abatia,parviflora,,Salicaceae,Salicales,Magnoliopsida,Abatia parviflora,ABPA1,Tree,Hardwood,Evergreen,Moderate,Short (0 - 35yrs),66
Abelia,chinensis,,Caprifoliaceae,Dipsacales,Magnoliopsida,Abelia,ABCH,Shrub,Hardwood,Deciduous,Moderate,Short (0 - 35yrs),7
Abelia,triflora,,Caprifoliaceae,Dipsacales,Magnoliopsida,Indian abelia,ABTR,Shrub or small tree,Hardwood,Deciduous,Fast,Short (0 - 35yrs),13
Abelia,x grandiflora,,Caprifoliaceae,Dipsacales,Magnoliopsida,Glossy abelia,ABGR4,Shrub,Hardwood,Deciduous,Fast,Short (0 - 35yrs),6
Abies,alba,Abies excelsa,Pinaceae,Pinales,Pinopsida,European silver fir,ABAL3,Tree,Picea,Evergreen,Moderate,Long (55+yrs),147
Abies,amabilis,,Pinaceae,Pinales,Pinopsida,Pacific silver fir,ABAM,Tree,Picea,Evergreen,Slow,Long (55+yrs),165
Abies,balsamea,Pinus balsamea,Pinaceae,Pinales,Pinopsida,Balsam fir,ABBA,Tree,Picea,Evergreen,Slow,Long (55+yrs),60
Abies,bracteata,Abies venusta,Pinaceae,Pinales,Pinopsida,Bristlecone fir,ABBR,Tree,Picea,Evergreen,Slow,Long (55+yrs),95
Abies,cephalonica,,Pinaceae,Pinales,Pinopsida,Greek Fir,ABCE,Tree,Picea,Evergreen,Moderate,Long (55+yrs),49
Abies,cilicica,,Pinaceae,Pinales,Pinopsida,Syrian Fir,ABCI,Tree,Picea,Evergreen,Moderate,Long (55+yrs),35
Abies,concolor,Picea concolor,Pinaceae,Pinales,Pinopsida,White fir,ABCO,Tree,Picea,Evergreen,Slow,Long (55+yrs),120
Abies,concolor v. lowiana,Abies lowiana,Pinaceae,Pinales,Pinopsida,Sierra white fir,ABLO,Tree,Picea,Evergreen,Slow,Long (55+yrs),96
Abies,delavayi,,Pinaceae,Pinales,Pinopsida,Delavay's Fir,ABDE,Tree,Picea,Evergreen,Moderate,Long (55+yrs),40
Abies,fabri,,Pinaceae,Pinales,Pinopsida,Faber's fir,ABFA1,Tree,Picea,Evergreen,,,40
Abies,fargesii,,Pinaceae,Pinales,Pinopsida,Farges Fir,ABFA,Tree,Picea,Evergreen,Moderate,Long (55+yrs),40
Abies,firma,,Pinaceae,Pinales,Pinopsida,Momi Fir,ABFI,Tree,Picea,Evergreen,Moderate,Long (55+yrs),30
Abies,forrestii v. georgei,,Pinaceae,Pinales,Pinopsida,George's Fir,ABFOGE,Tree,Picea,Evergreen,Moderate,Long (55+yrs),40
Abies,fraseri,Pinus fraseri,Pinaceae,Pinales,Pinopsida,Fraser fir,ABFR,Tree,Picea,Evergreen,Moderate,Moderate (35 - 55yrs),55
Abies,grandis,,Pinaceae,Pinales,Pinopsida,Grand fir,ABGR,Tree,Picea,Evergreen,Moderate,Long (55+yrs),150
Abies,holophylla,,Pinaceae,Pinales,Pinopsida,Manchurian fir,ABHO,Tree,Picea,Evergreen,Slow,Long (55+yrs),100
Abies,homolepis,,Pinaceae,Pinales,Pinopsida,Japanese fir,ABHO2,Tree,Picea,Evergreen,Slow,,50
Abies,kawakamii,,Pinaceae,Pinales,Pinopsida,Taiwan fir,ABKA,Tree,Pinus,Evergreen,,,100
Abies,koreana,,Pinaceae,Pinales,Pinopsida,Korean Fir,ABKO,Shrub or small tree,Picea,Evergreen,Fast,Moderate (35 - 55yrs),9
Abies,lasiocarpa,Abies bifolia,Pinaceae,Pinales,Pinopsida,Subalpine fir,ABLA,Tree,Picea,Evergreen,Slow,Long (55+yrs),90
Abies,magnifica,,Pinaceae,Pinales,Pinopsida,California red fir,ABMA,Tree,Picea,Evergreen,Slow,Long (55+yrs),150
Abies,mariesii,,Pinaceae,Pinales,Pinopsida,Maries's Fir,ABMA2,Tree,Picea,Evergreen,,,98
Abies,nephrolepis,,Pinaceae,Pinales,Pinopsida,Khingan fir,ABNE,Tree,Picea,Evergreen,Slow,Long (55+yrs),90
Abies,nordmanniana,,Pinaceae,Pinales,Pinopsida,Nordmann fir,ABNO,Tree,Picea,Evergreen,Slow,Long (55+yrs),63
Abies,nordmanniana ssp. equi-trojani,Abies bornmuelleriana,Pinaceae,Pinales,Pinopsida,Turkey fir,ABNO1,Tree,Picea,Evergreen,,,61
Abies,numidica,,Pinaceae,Pinales,Pinopsida,Algerian Fir,ABNU,Tree,Picea,Evergreen,Fast,Long (55+yrs),25
Abies,pindrow,,Pinaceae,Pinales,Pinopsida,West Himalayan Fir,ABPI2,Tree,Picea,Evergreen,,,60
Abies,pinsapo,,Pinaceae,Pinales,Pinopsida,Spanish fir,ABPI,Tree,Picea,Evergreen,Slow,Long (55+yrs),96
Abies,procera,Abies nobilis,Pinaceae,Pinales,Pinopsida,Noble fir,ABPR,Tree,Picea,Evergreen,Fast,Long (55+yrs),180
Abies,religiosa,,Pinaceae,Pinales,Pinopsida,Sacred fir,ABRE,Tree,Pinus,Evergreen,Moderate,Long (55+yrs),35
Abies,sibirica,,Pinaceae,Pinales,Pinopsida,Siberian fir,ABSI,Tree,Picea,Evergreen,,,98
Abies,spectabilis,,Pinaceae,Pinales,Pinopsida,Himalayan Fir,ABSP,Tree,Picea,Evergreen,,,60
Abies,squamata,,Pinaceae,Pinales,Pinopsida,Flaky fir,ABSQ,Tree,Pinus,Evergreen,,,95
Abies,veitchii,,Pinaceae,Pinales,Pinopsida,Veitch's Silver Fir,ABVE,Tree,Picea,Evergreen,Fast,Short (0 - 35yrs),22
Abies,vejari,,Pinaceae,Pinales,Pinopsida,Vejar's fir,ABVE1,Tree,Picea,Evergreen,,,40
Abies,x borisii-regis,,Pinaceae,Pinales,Pinopsida,Bulgarian fir,ABBO,Tree,Picea,Evergreen,Slow,Long (55+yrs),96
Abies,x masjoannis,,Pinaceae,Pinales,Pinopsida,Masjoannis fir,ABMA1,Tree,Picea,Evergreen,Fast,Long (55+yrs),100
Abies,x phanerolepis,Abies balsamea var. phanerolepis,Pinaceae,Pinales,Pinopsida,Bracted balsam fir,ABPH,Tree,Picea,Evergreen,Slow,Long (55+yrs),96
Abies,x shastensis,Abies magnifica var. shastensis,Pinaceae,Pinales,Pinopsida,Shasta red fir,ABSH,Tree,Picea,Evergreen,Slow,Long (55+yrs),96
